Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Direct Solar Radiation Rate per Area [W/m2](TimeStep),LIVING_UNIT1:Space People Occupant Count [](TimeStep),LIVING_UNIT1:Zone Air System Sensible Heating Rate [W](TimeStep),LIVING_UNIT1:Zone Air System Sensible Cooling Rate [W](TimeStep),LIVING_UNIT1:Zone Air Temperature [C](TimeStep),ATTIC_UNIT1:Zone Air System Sensible Heating Rate [W](TimeStep),ATTIC_UNIT1:Zone Air System Sensible Cooling Rate [W](TimeStep),ATTIC_UNIT1:Zone Air Temperature [C](TimeStep),CRAWLSPACE_UNIT1:Zone Air System Sensible Heating Rate [W](TimeStep),CRAWLSPACE_UNIT1:Zone Air System Sensible Cooling Rate [W](TimeStep),CRAWLSPACE_UNIT1:Zone Air Temperature [C](TimeStep) 
 12/21  00:15:00,-17.9,0.0,3.0,870.7051276593603,0.0,-6.428411616425896e-17,0.0,0.0,-22.042140398629765,0.0,0.0,13.714088101087729 
 12/21  00:30:00,-17.9,0.0,3.0,0.0,0.0,-0.5152971254506862,0.0,0.0,-22.041899432348785,0.0,0.0,13.714250260572097 
 12/21  00:45:00,-17.9,0.0,3.0,0.0,0.0,-1.0874056138535941,0.0,0.0,-22.041538056100016,0.0,0.0,13.714437226329807 
 12/21  01:00:00,-17.9,0.0,3.0,0.0,0.0,-1.3115476433161586,0.0,0.0,-22.04132445622956,0.0,0.0,13.714443185075304 
 12/21  01:15:00,-17.9,0.0,3.0,0.0,0.0,-1.4434074813505628,0.0,0.0,-22.04117038288247,0.0,0.0,13.714339321055908 
 12/21  01:30:00,-17.9,0.0,3.0,0.0,0.0,-1.5825492161329535,0.0,0.0,-22.04107639139809,0.0,0.0,13.714111709576551 
 12/21  01:45:00,-17.9,0.0,3.0,0.0,0.0,-1.7291769223168898,0.0,0.0,-22.04106815551356,0.0,0.0,13.713728036508705 
 12/21  02:00:00,-17.9,0.0,3.0,0.0,0.0,-1.8669918527917735,0.0,0.0,-22.041160409059984,0.0,0.0,13.713150221327068 
 12/21  02:15:00,-17.9,0.0,3.0,0.0,0.0,-1.9930171450965322,0.0,0.0,-22.041372215640664,0.0,0.0,13.712340540093935 
 12/21  02:30:00,-17.9,0.0,3.0,0.0,0.0,-2.1109410323237805,0.0,0.0,-22.04172851049984,0.0,0.0,13.71126730938764 
 12/21  02:45:00,-17.9,0.0,3.0,0.0,0.0,-2.2242586482602054,0.0,0.0,-22.04225404156192,0.0,0.0,13.709908224661374 
 12/21  03:00:00,-17.9,0.0,3.0,0.0,0.0,-2.3343531678645526,0.0,0.0,-22.04296954232777,0.0,0.0,13.708250562538975 
 12/21  03:15:00,-17.9,0.0,3.0,0.0,0.0,-2.4424722322231602,0.0,0.0,-22.04389081693685,0.0,0.0,13.706290076773081 
 12/21  03:30:00,-17.9,0.0,3.0,0.0,0.0,-2.547996808880348,0.0,0.0,-22.04502868283485,0.0,0.0,13.704029778777644 
 12/21  03:45:00,-17.9,0.0,3.0,0.0,0.0,-2.6503950730609622,0.0,0.0,-22.046389056709454,0.0,0.0,13.70147863688878 
 12/21  04:00:00,-17.9,0.0,3.0,0.0,0.0,-2.7497984779722575,0.0,0.0,-22.04797329192783,0.0,0.0,13.698650136832585 
 12/21  04:15:00,-17.9,0.0,3.0,0.0,0.0,-2.839567416061737,0.0,0.0,-22.049778771146034,0.0,0.0,13.695560956292631 
