,temp_zone_0,phvac_0,occ_0,solar,temp_outdoor,Time,day_sin,day_cos,setpt_0
6/23/2021 0:00,73.550783,-1937.452688,0,0,55.4,6/23/2021 0:00,0,1,25
6/23/2021 0:15,73.31794333,-1922.590248,0,0,55.16,6/23/2021 0:15,0.065403129,0.997858923,25
6/23/2021 0:30,73.078885,-1955.050594,0,0,55.1,6/23/2021 0:30,0.130526192,0.991444861,25
6/23/2021 0:45,72.86379333,-1927.098408,0,0,55.1,6/23/2021 0:45,0.195090322,0.98078528,25
6/23/2021 1:00,72.66157667,-1925.232641,0,0,55.13333333,6/23/2021 1:00,0.258819045,0.965925826,25
6/23/2021 1:15,72.48502967,-1957.777517,0,0,54.86666667,6/23/2021 1:15,0.321439465,0.946930129,25
6/23/2021 1:30,72.33059333,-1922.575441,0,0,54.3,6/23/2021 1:30,0.382683432,0.923879533,25
6/23/2021 1:45,72.18042333,-1953.012286,0,0,53.98,6/23/2021 1:45,0.44228869,0.896872742,25
6/23/2021 2:00,72.04503867,-1950.51821,0,0,53.73333333,6/23/2021 2:00,0.5,0.866025404,25
6/23/2021 2:15,71.919832,-1920.752783,0,0,53.88,6/23/2021 2:15,0.555570233,0.831469612,25
6/23/2021 2:30,71.81012867,-1962.926891,0,0,53.9,6/23/2021 2:30,0.608761429,0.79335334,25
6/23/2021 2:45,71.68347167,-1936.829581,0,0,53.84666667,6/23/2021 2:45,0.659345815,0.751839807,25
6/23/2021 3:00,71.60356833,-1928.290385,0,0,53.58,6/23/2021 3:00,0.707106781,0.707106781,25
6/23/2021 3:15,71.50436333,-1977.107881,0,0,53.46,6/23/2021 3:15,0.751839807,0.659345815,25
6/23/2021 3:30,71.42155533,-1906.767244,0,0,52.7,6/23/2021 3:30,0.79335334,0.608761429,25
6/23/2021 3:45,71.3422,-1934.541833,0,0,51.82666667,6/23/2021 3:45,0.831469612,0.555570233,25
6/23/2021 4:00,71.28953,-1823.3618,0,0,51.50666667,6/23/2021 4:00,0.866025404,0.5,25
6/23/2021 4:15,71.24297533,-1902.684676,0,0,51.09333333,6/23/2021 4:15,0.896872742,0.44228869,25
6/23/2021 4:30,71.17024467,-1947.62297,0,0,50.80666667,6/23/2021 4:30,0.923879533,0.382683432,25
6/23/2021 4:45,71.105052,-1893.454401,0,0,50.71333333,6/23/2021 4:45,0.946930129,0.321439465,25
6/23/2021 5:00,71.05554833,-1933.944355,0,0,50.92,6/23/2021 5:00,0.965925826,0.258819045,25
6/23/2021 5:15,71.02129833,-1873.464511,0,0.666666667,51.14,6/23/2021 5:15,0.98078528,0.195090322,25
6/23/2021 5:30,70.98828333,-1931.593375,0,9.533333333,51.12,6/23/2021 5:30,0.991444861,0.130526192,25
6/23/2021 5:45,70.959952,-1822.775162,0,23,51.37333333,6/23/2021 5:45,0.997858923,0.065403129,25
