,Date/Time,temp_outdoor,solar,occ_0,heating,cooling,temp_zone_0,ATTIC_UNIT1:Zone Air System Sensible Heating Rate [W](TimeStep),ATTIC_UNIT1:Zone Air System Sensible Cooling Rate [W](TimeStep),ATTIC_UNIT1:Zone Air Temperature [C](TimeStep),CRAWLSPACE_UNIT1:Zone Air System Sensible Heating Rate [W](TimeStep),CRAWLSPACE_UNIT1:Zone Air System Sensible Cooling Rate [W](TimeStep),CRAWLSPACE_UNIT1:Zone Air Temperature [C](TimeStep) ,Time,day_sin,day_cos,Cphvac_0,Hphvac_0,phvac_0,setpt_0
2023-06-03 00:00:00, 06/03  00:15:00,58.73,0.0,3.0,0.0,0.0,75.98398366953862,0.0,0.0,14.515472590697316,0.0,0.0,18.55341857685185,2023-06-03 00:00:00,0.0,1.0,-0.0,0.0,-0.0,24
2023-06-03 00:15:00, 06/03  00:30:00,58.46,0.0,3.0,0.0,2171.215567173629,74.55517159710571,0.0,0.0,14.35075707352371,0.0,0.0,18.52777496578074,2023-06-03 00:15:00,0.065403129230143,0.9978589232386036,-2171.215567173629,0.0,-2171.215567173629,24
2023-06-03 00:30:00, 06/03  00:45:00,58.190000000000005,0.0,3.0,0.0,0.0,75.09328090115699,0.0,0.0,14.097514708508164,0.0,0.0,18.502737349087845,2023-06-03 00:30:00,0.1305261922200515,0.9914448613738104,-0.0,0.0,-0.0,24
2023-06-03 00:45:00, 06/03  01:00:00,57.92,0.0,3.0,0.0,0.0,75.8619349433936,0.0,0.0,13.78863518550363,0.0,0.0,18.483869770292607,2023-06-03 00:45:00,0.1950903220161282,0.9807852804032304,-0.0,0.0,-0.0,24
2023-06-03 01:00:00, 06/03  01:15:00,57.65,0.0,3.0,0.0,2047.70357505954,73.46198264869041,0.0,0.0,13.44222624058716,0.0,0.0,18.45917744131765,2023-06-03 01:00:00,0.2588190451025207,0.9659258262890684,-2047.70357505954,0.0,-2047.70357505954,24
2023-06-03 01:15:00, 06/03  01:30:00,57.38,0.0,3.0,0.0,0.0,74.79601701293049,0.0,0.0,13.14943526920104,0.0,0.0,18.43436260357559,2023-06-03 01:15:00,0.3214394653031615,0.9469301294951056,-0.0,0.0,-0.0,24
2023-06-03 01:30:00, 06/03  01:45:00,57.11,0.0,3.0,0.0,0.0,75.14900279223693,0.0,0.0,12.880943751418965,0.0,0.0,18.40511937739877,2023-06-03 01:30:00,0.3826834323650898,0.9238795325112868,-0.0,0.0,-0.0,24
2023-06-03 01:45:00, 06/03  02:00:00,56.84,0.0,3.0,0.0,0.0,75.50381014630716,0.0,0.0,12.642298184464789,0.0,0.0,18.369228152326446,2023-06-03 01:45:00,0.4422886902190012,0.8968727415326884,-0.0,0.0,-0.0,24
2023-06-03 02:00:00, 06/03  02:15:00,56.84,0.0,3.0,0.0,0.0,75.84251509004042,0.0,0.0,12.468036768410728,0.0,0.0,18.334270824479603,2023-06-03 02:00:00,0.4999999999999999,0.8660254037844387,-0.0,0.0,-0.0,24
2023-06-03 02:15:00, 06/03  02:30:00,56.84,0.0,3.0,0.0,0.0,76.08593324919701,0.0,0.0,12.35243054189162,0.0,0.0,18.30405330658125,2023-06-03 02:15:00,0.5555702330196022,0.8314696123025452,-0.0,0.0,-0.0,24
2023-06-03 02:30:00, 06/03  02:45:00,56.84,0.0,3.0,0.0,0.0,76.15100189632415,0.0,0.0,12.259367029864748,0.0,0.0,18.27587738381744,2023-06-03 02:30:00,0.6087614290087205,0.7933533402912353,-0.0,0.0,-0.0,24
2023-06-03 02:45:00, 06/03  03:00:00,56.84,0.0,3.0,0.0,2037.9418509653285,73.35940974458967,0.0,0.0,12.187109102166373,0.0,0.0,18.25325526943814,2023-06-03 02:45:00,0.6593458151000688,0.7518398074789774,-2037.9418509653285,0.0,-2037.9418509653285,24
2023-06-03 03:00:00, 06/03  03:15:00,56.84,0.0,3.0,0.0,0.0,73.1665218835568,0.0,0.0,12.112525485408504,0.0,0.0,18.224966765523128,2023-06-03 03:00:00,0.7071067811865475,0.7071067811865476,-0.0,0.0,-0.0,24
2023-06-03 03:15:00, 06/03  03:30:00,56.84,0.0,3.0,0.0,0.0,74.09595253667861,0.0,0.0,12.061022057655196,0.0,0.0,18.204255160368213,2023-06-03 03:15:00,0.7518398074789773,0.659345815100069,-0.0,0.0,-0.0,24
