Date/Time,Electricity:Facility [J](TimeStep) 
 12/21  00:15:00,666202.2035621032 
 12/21  00:30:00,666202.2035621032 
 12/21  00:45:00,666202.2035621032 
 12/21  01:00:00,666202.2035621032 
 12/21  01:15:00,611488.1414302861 
 12/21  01:30:00,611488.1414302861 
 12/21  01:45:00,611488.1414302861 
 12/21  02:00:00,611488.1414302861 
 12/21  02:15:00,593016.7579458188 
 12/21  02:30:00,593016.7579458188 
 12/21  02:45:00,593016.7579458188 
 12/21  03:00:00,593016.7579458188 
 12/21  03:15:00,579301.8365642207 
 12/21  03:30:00,579301.8365642207 
 12/21  03:45:00,579301.8365642207 
 12/21  04:00:00,579301.8365642207 
 12/21  04:15:00,615193.3275455326 
 12/21  04:30:00,615193.3275455326 
 12/21  04:45:00,615193.3275455326 
 12/21  05:00:00,615193.3275455326 
 12/21  05:15:00,748499.3146861754 
 12/21  05:30:00,748499.3146861754 
 12/21  05:45:00,748499.3146861754 
 12/21  06:00:00,748499.3146861754 
 12/21  06:15:00,854651.023158134 
 12/21  06:30:00,854651.023158134 
 12/21  06:45:00,854651.023158134 
 12/21  07:00:00,854651.023158134 
 12/21  07:15:00,952155.6025024655 
 12/21  07:30:00,952155.6025024655 
 12/21  07:45:00,952155.6025024655 
 12/21  08:00:00,952155.6025024655 
 12/21  08:15:00,852120.502364467 
 12/21  08:30:00,852120.502364467 
 12/21  08:45:00,852120.502364467 
 12/21  09:00:00,852120.502364467 
 12/21  09:15:00,817123.340917927 
 12/21  09:30:00,817123.340917927 
 12/21  09:45:00,817123.340917927 
 12/21  10:00:00,817123.340917927 
 12/21  10:15:00,835096.538863066 
 12/21  10:30:00,835096.538863066 
 12/21  10:45:00,835096.538863066 
 12/21  11:00:00,835096.538863066 
 12/21  11:15:00,846670.4245558014 
 12/21  11:30:00,846670.4245558014 
 12/21  11:45:00,846670.4245558014 
 12/21  12:00:00,846670.4245558014 
 12/21  12:15:00,831070.1213451808 
 12/21  12:30:00,831070.1213451808 
 12/21  12:45:00,831070.1213451808 
 12/21  13:00:00,831070.1213451808 
