,temp_zone_0,phvac_0,temp_outdoor,solar,occ_0,Supply_airflow,Cooling_sp,Heating_sp,Cooling Coil BTU,VAV 13 BTU,temp_sup,CC_Valve,HC_Valve,PHC_Valve,MAT,PHC_DAT,HC_DAT,Heating Coil BTU,Preheating Coil BTU,temp_sup_spt,CO2Sensor,OA_Airflow,OA_DamperSignal,CO2Setpoint,Time,day_sin,day_cos
2023-08-31 00:00:00,73.165802,-1912.06901,60.79333333,0.0,0,519.7024751,80.0,65.0,2.02071778,0.033646346,61.68901443,20.40209007,0.0,0.0,65.4281896,62.5861702,66.77727254,13.89476267,10472.60449,62.66666667,413.0909091,-687.2837905,98.67670949,1000.0,2023-08-31 00:00:00,0.0,1.0
2023-08-31 00:15:00,72.85629272,-1492.306276,60.47333333,0.0,0,514.80665,80.0,65.0,1.725878954,0.033646346,63.8311793,30.7321256,0.0,0.0,64.08980687,62.14873886,65.64262899,13.95615387,10472.56152,60.33333333,409.2424242,-528.1160015,73.33245341,1000.0,2023-08-31 00:15:00,0.06540312923014306,0.9978589232386035
2023-08-31 00:30:00,73.02114868,-2025.829411,60.14666667,0.0,0,514.6015438,80.0,65.0,3.301615,0.033958851,60.74590302,41.27892558,0.0,0.0,65.92603556,62.25244649,66.41468302,13.88510672,10472.65951,58.0,410.2121212,-355.5893098,61.0,1000.0,2023-08-31 00:30:00,0.13052619222005157,0.9914448613738104
2023-08-31 00:45:00,72.88933309,-2198.954599,59.83333333,0.0,0,516.9861482,80.0,65.0,3.758398851,0.033750514,59.62599945,37.32242076,0.0,0.0,66.31710561,62.04670842,66.74946086,13.90541236,10472.61003,58.0,409.8787879,-355.5893098,61.0,1000.0,2023-08-31 00:45:00,0.19509032201612825,0.9807852804032304
2023-08-31 01:00:00,72.76746623,-2072.515275,59.46,0.0,0,517.3178519,80.0,65.0,3.194186926,0.033854683,60.27164205,44.96704229,0.0,0.0,66.37766774,61.77762731,66.81255341,13.92761103,10472.68066,58.0,408.5454545,-355.5893098,61.0,1000.0,2023-08-31 01:00:00,0.25881904510252074,0.9659258262890683
2023-08-31 01:15:00,72.67664591,-2170.450241,59.03333333,0.0,0,517.2169378,80.0,65.0,4.100180387,0.03333384,59.58423996,42.79989497,0.0,0.0,66.36925507,61.40796916,66.80666606,13.87618764,10472.74121,58.0,407.0,-355.5893098,61.0,1000.0,2023-08-31 01:15:00,0.32143946530316153,0.9469301294951057
2023-08-31 01:30:00,72.56265259,-2195.17871,58.7,0.0,0,519.0101502,80.0,65.0,3.678256989,0.033646346,59.36580149,37.27934138,0.0,0.0,66.18590291,61.03384908,66.66954549,13.87517007,10472.83073,58.0,407.8181818,-355.5893098,61.0,1000.0,2023-08-31 01:30:00,0.3826834323650898,0.9238795325112867
2023-08-31 01:45:00,72.46861776,-2191.693225,58.34666667,0.0,0,518.5502508,80.0,65.0,3.764987866,0.033542177,59.28264364,38.04971822,0.0,0.0,66.04293315,60.68650436,66.5559845,13.91502349,10472.71354,57.33333333,405.2727273,-355.5893098,61.0,1000.0,2023-08-31 01:45:00,0.44228869021900125,0.8968727415326884
2023-08-31 02:00:00,72.3843689,-2150.670571,58.15333333,0.0,0,519.0837841,80.0,65.0,3.662710269,0.033646346,59.46931966,49.16042328,0.0,0.0,65.88818868,60.46665064,66.40878805,13.85490958,10472.47493,57.0,406.3030303,-355.5893098,61.0,1000.0,2023-08-31 02:00:00,0.49999999999999994,0.8660254037844387
2023-08-31 02:15:00,72.30722046,-2271.560504,58.11333333,0.0,0,518.8339145,80.0,65.0,4.506606023,0.033854682,58.65603765,46.64495595,0.0,0.0,65.83352661,60.46580378,66.34402212,13.92514833,10472.63379,57.0,407.3333333,-355.5893098,61.0,1000.0,2023-08-31 02:15:00,0.5555702330196022,0.8314696123025452
2023-08-31 02:30:00,72.18641154,-2218.434971,58.11333333,0.0,0,518.955604,80.0,65.0,3.37767911,0.033958851,58.85948944,46.24713262,0.0,0.0,65.80324809,60.55376307,66.2742157,13.84420999,10472.75846,57.0,407.4545455,-355.5893098,61.0,1000.0,2023-08-31 02:30:00,0.6087614290087205,0.7933533402912353
2023-08-31 02:45:00,72.12265015,-2208.41845,58.3,0.0,0,519.8082829,80.0,65.0,4.393297593,0.033646346,58.87836583,49.66165161,0.0,0.0,65.83941142,60.63747533,66.30701447,13.88067341,10472.82324,57.0,406.3030303,-355.5893098,61.0,1000.0,2023-08-31 02:45:00,0.6593458151000688,0.7518398074789774
2023-08-31 03:00:00,72.05195109,-2293.568279,58.38666667,0.0,0,518.2201925,80.0,65.0,4.270378351,0.034271357,58.24307124,40.45005544,0.0,0.0,65.84109243,60.65100225,66.30196889,13.90893269,10472.25586,57.0,407.7575758,-355.5893098,61.0,1000.0,2023-08-31 03:00:00,0.7071067811865475,0.7071067811865476
2023-08-31 03:15:00,71.99128215,-2245.543374,58.3,0.0,0,518.3161611,80.0,65.0,4.239208221,0.034375525,58.48929087,38.87233734,0.0,0.0,65.81166077,60.64424133,66.27841695,13.9030269,10472.57357,57.0,406.7878788,-355.5893098,61.0,1000.0,2023-08-31 03:15:00,0.7518398074789773,0.659345815100069
2023-08-31 03:30:00,71.93435669,-2164.296517,58.21333333,0.0,0,518.9364849,80.0,65.0,3.585190694,0.034063019,58.93499756,41.27380371,0.0,0.0,65.76876831,60.62225596,66.25150553,13.90700467,10472.6263,57.0,405.6666667,-355.5893098,61.0,1000.0,2023-08-31 03:30:00,0.7933533402912352,0.6087614290087207
2023-08-31 03:45:00,71.8975118,-2187.970151,58.13333333,0.0,0,519.1432757,80.0,65.0,4.235645453,0.033750514,58.76494853,42.16566976,0.0,0.0,65.75278982,60.59519704,66.20861053,13.92241796,10472.4668,57.0,406.3333333,-355.5893098,61.0,1000.0,2023-08-31 03:45:00,0.8314696123025451,0.5555702330196024
2023-08-31 04:00:00,71.8368632,-2160.195004,58.09333333,0.0,0,520.0614104,80.0,65.0,3.353315274,0.033958851,58.8759079,42.43900808,0.0,0.0,65.72419739,60.41758982,66.20272827,13.93236891,10472.60645,57.0,409.5454545,-355.5893098,61.0,1000.0,2023-08-31 04:00:00,0.8660254037844386,0.5000000000000001
2023-08-31 04:15:00,71.83010864,-2069.661186,57.82,0.0,0,519.7810044,80.0,65.0,3.832994064,0.034167188,59.40912247,55.31897481,0.0,0.0,65.69308217,60.20520528,66.18338013,13.91348203,10472.80566,57.0,411.8181818,-355.5893098,61.0,1000.0,2023-08-31 04:15:00,0.8968727415326883,0.44228869021900147
2023-08-31 04:30:00,71.79997762,-2233.816347,57.61333333,0.0,0,518.1400006,80.0,65.0,4.184824864,0.03406302,58.3655103,48.15254339,0.0,0.0,65.48284403,59.70812225,66.0589091,13.89562066,10472.91048,57.0,415.7575758,-355.5893098,61.0,1000.0,2023-08-31 04:30:00,0.9238795325112867,0.38268343236508984
2023-08-31 04:45:00,71.72616577,-2226.425948,57.38,0.0,0,520.9332364,80.0,65.0,3.789564133,0.034271357,58.40543111,43.76388931,0.0,0.0,65.19775136,59.28255335,65.77717845,13.86490917,10473.07682,57.0,417.7272727,-355.5893098,61.0,1000.0,2023-08-31 04:45:00,0.9469301294951056,0.3214394653031617
2023-08-31 05:00:00,71.68254598,-2227.188672,57.3,0.0,0,520.1449053,80.0,65.0,3.649190346,0.033854683,58.34229151,38.64164098,0.0,0.0,65.00684357,59.09675217,65.57702891,13.8657163,10473.02051,57.0,419.2424242,-355.5893098,61.0,1000.0,2023-08-31 05:00:00,0.9659258262890682,0.25881904510252096
2023-08-31 05:15:00,71.63894653,-2189.601134,57.22,0.0,0,519.5502289,80.0,65.0,3.557846467,0.034479693,58.48960368,36.5887591,0.0,0.0,64.83022563,59.09250895,65.42565664,13.85891914,10472.96191,57.0,421.5757576,-355.5893098,61.0,1000.0,2023-08-31 05:15:00,0.9807852804032304,0.19509032201612833
2023-08-31 05:30:00,71.59215291,-2151.660913,57.0,0.0,1,519.9828685,80.0,65.0,3.139245987,0.033958852,58.69056702,35.72783407,0.0,0.0,64.82517751,59.07299042,65.4172465,13.88511817,10472.55729,57.0,417.4545455,-355.5893098,61.0,1000.0,2023-08-31 05:30:00,0.9914448613738104,0.1305261922200517
2023-08-31 05:45:00,71.53500366,-2116.976029,56.66,0.0,1,520.707372,80.0,65.0,3.364665349,0.034271357,58.85612361,38.62859217,0.0,0.0,64.72929382,58.91424179,65.31549072,13.9171594,10472.40495,57.0,420.9090909,-355.5893098,61.0,1000.0,2023-08-31 05:45:00,0.9978589232386035,0.06540312923014327
2023-08-31 06:00:00,71.51813761,-2166.057255,56.3,0.0,0,519.3980453,80.0,65.0,3.079131762,0.034167189,58.5198377,35.06604131,0.0,0.0,64.64013418,58.6449763,65.22718811,13.92965253,10472.64193,57.0,419.7575758,-364.9177642,61.66666667,1000.0,2023-08-31 06:00:00,1.0,6.123233995736766e-17
2023-08-31 06:15:00,71.49807739,-2109.718341,55.88666667,0.0,0,520.2921951,80.0,65.0,3.270774364,0.033958851,58.87206014,37.89300537,0.0,0.0,64.45339457,58.25047811,65.0682373,13.90805689,10472.69954,57.0,417.8181818,-369.5975067,62.0,1000.0,2023-08-31 06:15:00,0.9978589232386035,-0.06540312923014292
2023-08-31 06:30:00,71.46798706,-2152.888354,55.31333333,6.733333333,0,521.3963968,80.0,65.0,3.335417906,0.034375525,58.59742101,35.39518483,0.0,0.0,64.20859019,57.90576553,64.83863576,13.87636948,10472.80794,57.0,416.8787879,-360.248093,61.33333333,1000.0,2023-08-31 06:30:00,0.9914448613738105,-0.13052619222005138
2023-08-31 06:45:00,71.43443807,-2143.493779,55.10666667,14.2,0,521.4766074,80.0,65.0,3.143503586,0.03406302,58.62794113,39.84890874,0.0,0.0,64.04031372,57.66382599,64.66621145,13.89008808,10472.86784,56.33333333,416.4848485,-355.5893098,61.0,1000.0,2023-08-31 06:45:00,0.9807852804032305,-0.19509032201612797
2023-08-31 07:00:00,71.40406291,-2244.943955,55.23333333,27.26666667,0,522.8290082,80.0,65.0,2.832832734,0.03406302,58.01975123,36.33228556,0.0,0.0,63.92671839,57.51976903,64.56443278,13.89038849,10472.5918,56.66666667,414.9090909,-355.5893098,61.0,1000.0,2023-08-31 07:00:00,0.9659258262890683,-0.25881904510252063
2023-08-31 07:15:00,71.40735881,-2168.340082,55.47333333,59.4,0,521.1961858,80.0,65.0,3.074595292,0.033646346,58.44650904,39.54814657,0.0,0.0,63.89305878,57.43705114,64.4811554,13.89427916,10472.55762,56.33333333,415.6666667,-355.5893098,61.0,1000.0,2023-08-31 07:15:00,0.9469301294951057,-0.32143946530316136
2023-08-31 07:30:00,71.42080688,-2304.315727,55.66666667,99.53333333,0,523.2938546,80.0,65.0,3.657896996,0.033958851,57.68967565,38.20074081,0.0,0.0,63.83078384,57.42511368,64.50470734,13.86263943,10472.39648,56.0,415.8484848,-383.688827,63.0,1000.0,2023-08-31 07:30:00,0.9238795325112868,-0.3826834323650895
2023-08-31 07:45:00,71.42084757,-2286.327692,55.9,148.9333333,0,522.6495399,80.0,65.0,3.345338424,0.034375525,57.7804095,37.57530594,0.0,0.0,63.75504049,57.55045319,64.33478292,13.91020234,10472.27474,56.0,416.030303,-369.5975067,62.0,1000.0,2023-08-31 07:45:00,0.8968727415326884,-0.44228869021900113
