,Date/Time,temp_amb,Environment:Site Wind Speed [m/s](TimeStep),solar,occ,LIVING_UNIT1:Space People Occupant Count [](TimeStep),temp_room,Int_cov,Sur_cov,LIVING_UNIT1:Zone Air Heat Balance Interzone Air Transfer Rate [W](TimeStep),LIVING_UNIT1:Zone Air Heat Balance Outdoor Air Transfer Rate [W](TimeStep),LIVING_UNIT1:Zone Air Heat Balance System Air Transfer Rate [W](TimeStep),LIVING_UNIT1:Zone Air Heat Balance System Convective Heat Gain Rate [W](TimeStep),Eng_stg,LIVING_UNIT1:Zone Air Heat Balance Deviation Rate [W](TimeStep),ATTIC_UNIT1:Zone Mean Air Temperature [C](TimeStep),ATTIC_UNIT1:Zone Air Heat Balance Internal Convective Heat Gain Rate [W](TimeStep),ATTIC_UNIT1:Zone Air Heat Balance Surface Convection Rate [W](TimeStep),ATTIC_UNIT1:Zone Air Heat Balance Interzone Air Transfer Rate [W](TimeStep),ATTIC_UNIT1:Zone Air Heat Balance Outdoor Air Transfer Rate [W](TimeStep),ATTIC_UNIT1:Zone Air Heat Balance System Air Transfer Rate [W](TimeStep),ATTIC_UNIT1:Zone Air Heat Balance System Convective Heat Gain Rate [W](TimeStep),ATTIC_UNIT1:Zone Air Heat Balance Air Energy Storage Rate [W](TimeStep),ATTIC_UNIT1:Zone Air Heat Balance Deviation Rate [W](TimeStep),CRAWLSPACE_UNIT1:Zone Mean Air Temperature [C](TimeStep),CRAWLSPACE_UNIT1:Zone Air Heat Balance Internal Convective Heat Gain Rate [W](TimeStep),CRAWLSPACE_UNIT1:Zone Air Heat Balance Surface Convection Rate [W](TimeStep),CRAWLSPACE_UNIT1:Zone Air Heat Balance Interzone Air Transfer Rate [W](TimeStep),CRAWLSPACE_UNIT1:Zone Air Heat Balance Outdoor Air Transfer Rate [W](TimeStep),CRAWLSPACE_UNIT1:Zone Air Heat Balance System Air Transfer Rate [W](TimeStep),CRAWLSPACE_UNIT1:Zone Air Heat Balance System Convective Heat Gain Rate [W](TimeStep),CRAWLSPACE_UNIT1:Zone Air Heat Balance Air Energy Storage Rate [W](TimeStep),CRAWLSPACE_UNIT1:Zone Air Heat Balance Deviation Rate [W](TimeStep),heating,cooling,LIVING_UNIT1:Zone Air Temperature [C](TimeStep),LIVING_UNIT1:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),LIVING_UNIT1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),ATTIC_UNIT1:Zone Air System Sensible Heating Rate [W](TimeStep),ATTIC_UNIT1:Zone Air System Sensible Cooling Rate [W](TimeStep),ATTIC_UNIT1:Zone Air Temperature [C](TimeStep),ATTIC_UNIT1:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),ATTIC_UNIT1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),CRAWLSPACE_UNIT1:Zone Air System Sensible Heating Rate [W](TimeStep),CRAWLSPACE_UNIT1:Zone Air System Sensible Cooling Rate [W](TimeStep),CRAWLSPACE_UNIT1:Zone Air Temperature [C](TimeStep),CRAWLSPACE_UNIT1:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),CRAWLSPACE_UNIT1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep) ,Time,day_sin,day_cos,phvac
2023-07-30 00:00:00, 07/30  00:15:00,72.455,2.725,0.0,3.0,3.0,71.67564546419214,290.3080101019458,1767.60990591788,0.0,0.0,-2307.3238491291845,0.0,-184.3498399899854,0.0,21.104603475457267,0.0,68.09458021007303,0.0,0.0,0.0,0.0,75.02012049971424,0.0,19.16156782051056,0.0,-5.035184404901434,0.0,0.0,0.0,0.0,-4.877992346800316,0.0,0.0,2307.226874633276,22.04202525788453,21.0,24.0,0.0,0.0,21.104603475457267,21.0,24.0,0.0,0.0,19.16156782051056,21.0,24.0,2023-07-30 00:00:00,0.0,1.0,-2307.226874633276
2023-07-30 00:15:00, 07/30  00:30:00,72.95,2.85,0.0,3.0,3.0,71.30097837192358,296.5363260907872,1906.95679249436,0.0,0.0,-2254.558302962384,0.0,-79.02991494374801,0.0,20.45428971540652,0.0,226.89275173379585,0.0,0.0,-375.0301943961471,0.0,-129.14022857064268,0.0,19.12162903978361,0.0,-2.60825861189489,0.0,0.0,0.0,0.0,-2.912694675807085,0.0,0.0,2254.4913634530208,21.83387687329088,21.0,24.0,0.0,375.0301943961471,20.45428971540652,21.0,24.0,0.0,0.0,19.12162903978361,21.0,24.0,2023-07-30 00:15:00,0.065403129230143,0.9978589232386036,-2254.4913634530208
2023-07-30 00:30:00, 07/30  00:45:00,73.445,2.975,0.0,3.0,3.0,71.91758018703045,298.05813757950307,1430.0668371625957,0.0,0.0,-1405.2681850126,0.0,219.51318892294665,0.0,21.129588484706467,0.0,104.95186280917426,0.0,0.0,0.0,0.0,51.86850701869353,0.0,19.10860960956806,0.0,-3.432418203183384,0.0,0.0,0.0,0.0,-3.852961198439469,0.0,0.0,1405.1995084215375,22.17643343723914,21.0,24.0,0.0,0.0,21.129588484706467,21.0,24.0,0.0,0.0,19.10860960956806,21.0,24.0,2023-07-30 00:30:00,0.1305261922200515,0.9914448613738104,-1405.1995084215375
2023-07-30 00:45:00, 07/30  01:00:00,73.94,3.1,0.0,3.0,3.0,71.50072292146974,292.17354546575666,1478.1849230901466,0.0,0.0,-2283.353889110206,0.0,-312.6227670601811,0.0,20.50138959250512,0.0,203.99433174402824,0.0,0.0,-377.3998200397304,0.0,-113.36598015285338,0.0,19.078269523277253,0.0,-2.1234124222199107,0.0,0.0,0.0,0.0,-2.437211979581189,0.0,0.0,2283.244869574159,21.94484606748319,21.0,24.0,0.0,377.3998200397304,20.50138959250512,21.0,24.0,0.0,0.0,19.078269523277253,21.0,24.0,2023-07-30 00:45:00,0.1950903220161282,0.9807852804032304,-2283.244869574159
2023-07-30 01:00:00, 07/30  01:15:00,73.94,3.625,0.0,3.0,3.0,71.60110196124018,293.7392332233029,1401.5590500256744,0.0,0.0,-1378.780689006161,0.0,36.268879922925606,0.0,20.342542710256875,0.0,437.349158942512,0.0,0.0,-369.4081294289324,0.0,-16.176452324247823,0.0,19.055594809498498,0.0,-0.9612529629633296,0.0,0.0,0.0,0.0,-2.073308329291352,0.0,0.0,1378.6050782445427,22.000612200688987,21.0,24.0,0.0,369.4081294289324,20.342542710256875,21.0,24.0,0.0,0.0,19.055594809498498,21.0,24.0,2023-07-30 01:00:00,0.2588190451025207,0.9659258262890684,-1378.6050782445427
2023-07-30 01:15:00, 07/30  01:30:00,73.94,4.15,0.0,3.0,3.0,70.97894234299001,291.1614198147884,1554.5398435474556,0.0,0.0,-2209.8385752701715,0.0,-319.77244331356883,0.0,21.30622194320884,0.0,140.84047558697665,0.0,0.0,0.0,0.0,130.16224275452464,0.0,19.048277096991384,0.0,-1.701630452367077,0.0,0.0,0.0,0.0,-1.8845792621119235,0.0,0.0,2209.7611636499614,21.65496796832778,21.0,24.0,0.0,0.0,21.30622194320884,21.0,24.0,0.0,0.0,19.048277096991384,21.0,24.0,2023-07-30 01:15:00,0.3214394653031615,0.9469301294951056,-2209.7611636499614
2023-07-30 01:30:00, 07/30  01:45:00,73.94,4.675000000000001,0.0,3.0,3.0,71.16827244559492,297.5058682024338,1408.7460027935397,0.0,0.0,-1342.220862429096,0.0,282.25333581963935,0.0,20.54887417716757,0.0,169.01868230372293,0.0,0.0,-379.7888005726404,0.0,-178.3762726616382,0.0,19.03228316912921,0.0,-1.292408442152267,0.0,0.0,0.0,0.0,-1.3236863926767637,0.0,0.0,1342.1708041984675,21.760151358663844,21.0,24.0,0.0,379.7888005726404,20.54887417716757,21.0,24.0,0.0,0.0,19.03228316912921,21.0,24.0,2023-07-30 01:30:00,0.3826834323650898,0.9238795325112868,-1342.1708041984675
2023-07-30 01:45:00, 07/30  02:00:00,73.94,5.2,0.0,3.0,3.0,71.46855825533756,292.118524010006,1119.9159910421174,0.0,0.0,-1368.0063009043704,0.0,108.53129959124352,0.0,20.427568213850137,0.0,473.8732130865481,0.0,0.0,-373.6858181636897,0.0,-12.3498288792784,0.0,19.018161614866475,0.0,-0.8842035228251595,0.0,0.0,0.0,0.0,-1.291398319851634,0.0,0.0,1367.8495602512162,21.926976808520863,21.0,24.0,0.0,373.6858181636897,20.427568213850137,21.0,24.0,0.0,0.0,19.018161614866475,21.0,24.0,2023-07-30 01:45:00,0.4422886902190012,0.8968727415326884,-1367.8495602512162
2023-07-30 02:00:00, 07/30  02:15:00,73.715,5.2,0.0,3.0,3.0,71.4485311489305,291.4815163057715,1084.0866217031655,0.0,0.0,-1366.384732349641,0.0,22.72720846100669,0.0,21.422121684366413,0.0,141.73652788319552,0.0,0.0,0.0,0.0,138.15419720460426,0.0,19.01138994576744,0.0,-1.2982653634783266,0.0,0.0,0.0,0.0,-1.3761793715330484,0.0,0.0,1366.3433436315618,21.91585063829472,21.0,24.0,0.0,0.0,21.422121684366413,21.0,24.0,0.0,0.0,19.01138994576744,21.0,24.0,2023-07-30 02:00:00,0.4999999999999999,0.8660254037844387,-1366.3433436315618
2023-07-30 02:15:00, 07/30  02:30:00,73.49000000000001,5.2,0.0,3.0,3.0,71.41062742539651,291.56651655802784,1046.4401708810378,0.0,0.0,-1363.252279929411,0.0,-23.66410647019996,0.0,20.2074040378964,0.0,177.1194855904194,0.0,0.0,-362.6092143745525,0.0,-145.1412544482584,0.0,19.00287028477233,0.0,-1.507227558695036,0.0,0.0,0.0,0.0,-1.442130194830575,0.0,0.0,1363.197142583053,21.894793014109176,21.0,24.0,0.0,362.6092143745525,20.2074040378964,21.0,24.0,0.0,0.0,19.00287028477233,21.0,24.0,2023-07-30 02:15:00,0.5555702330196022,0.8314696123025452,-1363.197142583053
