,Date/Time,temp_amb,Environment:Site Wind Speed [m/s](TimeStep),solar,occ,LIVING_UNIT1:Space People Occupant Count [](TimeStep),temp_room,LIVING_UNIT1:Zone Air Heat Balance Internal Convective Heat Gain Rate [W](TimeStep),LIVING_UNIT1:Zone Air Heat Balance Surface Convection Rate [W](TimeStep),LIVING_UNIT1:Zone Air Heat Balance Interzone Air Transfer Rate [W](TimeStep),LIVING_UNIT1:Zone Air Heat Balance Outdoor Air Transfer Rate [W](TimeStep),LIVING_UNIT1:Zone Air Heat Balance System Air Transfer Rate [W](TimeStep),LIVING_UNIT1:Zone Air Heat Balance System Convective Heat Gain Rate [W](TimeStep),LIVING_UNIT1:Zone Air Heat Balance Air Energy Storage Rate [W](TimeStep),LIVING_UNIT1:Zone Air Heat Balance Deviation Rate [W](TimeStep),ATTIC_UNIT1:Zone Mean Air Temperature [C](TimeStep),ATTIC_UNIT1:Zone Air Heat Balance Internal Convective Heat Gain Rate [W](TimeStep),ATTIC_UNIT1:Zone Air Heat Balance Surface Convection Rate [W](TimeStep),ATTIC_UNIT1:Zone Air Heat Balance Interzone Air Transfer Rate [W](TimeStep),ATTIC_UNIT1:Zone Air Heat Balance Outdoor Air Transfer Rate [W](TimeStep),ATTIC_UNIT1:Zone Air Heat Balance System Air Transfer Rate [W](TimeStep),ATTIC_UNIT1:Zone Air Heat Balance System Convective Heat Gain Rate [W](TimeStep),ATTIC_UNIT1:Zone Air Heat Balance Air Energy Storage Rate [W](TimeStep),ATTIC_UNIT1:Zone Air Heat Balance Deviation Rate [W](TimeStep),CRAWLSPACE_UNIT1:Zone Mean Air Temperature [C](TimeStep),CRAWLSPACE_UNIT1:Zone Air Heat Balance Internal Convective Heat Gain Rate [W](TimeStep),CRAWLSPACE_UNIT1:Zone Air Heat Balance Surface Convection Rate [W](TimeStep),CRAWLSPACE_UNIT1:Zone Air Heat Balance Interzone Air Transfer Rate [W](TimeStep),CRAWLSPACE_UNIT1:Zone Air Heat Balance Outdoor Air Transfer Rate [W](TimeStep),CRAWLSPACE_UNIT1:Zone Air Heat Balance System Air Transfer Rate [W](TimeStep),CRAWLSPACE_UNIT1:Zone Air Heat Balance System Convective Heat Gain Rate [W](TimeStep),CRAWLSPACE_UNIT1:Zone Air Heat Balance Air Energy Storage Rate [W](TimeStep),CRAWLSPACE_UNIT1:Zone Air Heat Balance Deviation Rate [W](TimeStep),heating,cooling,LIVING_UNIT1:Zone Air Temperature [C](TimeStep),LIVING_UNIT1:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),LIVING_UNIT1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),ATTIC_UNIT1:Zone Air System Sensible Heating Rate [W](TimeStep),ATTIC_UNIT1:Zone Air System Sensible Cooling Rate [W](TimeStep),ATTIC_UNIT1:Zone Air Temperature [C](TimeStep),ATTIC_UNIT1:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),ATTIC_UNIT1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),CRAWLSPACE_UNIT1:Zone Air System Sensible Heating Rate [W](TimeStep),CRAWLSPACE_UNIT1:Zone Air System Sensible Cooling Rate [W](TimeStep),CRAWLSPACE_UNIT1:Zone Air Temperature [C](TimeStep),CRAWLSPACE_UNIT1:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),CRAWLSPACE_UNIT1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep) ,Time,day_sin,day_cos,phvac
2023-05-31 00:00:00, 05/31  00:15:00,65.525,0.0,0.0,3.0,3.0,71.67790536072192,289.034782107033,1746.6993434902722,0.0,0.0,-2307.4089962167463,0.0,-244.3392739414032,0.0,18.47980143057752,0.0,-1074.191422361872,0.0,0.0,831.1420024564461,0.0,-225.68551104447744,0.0,20.73024974576312,0.0,-67.34332838022327,0.0,0.0,0.0,0.0,-48.93294518877244,0.0,0.0,2307.350426964853,22.043280755956623,21.0,24.0,831.1420024564461,0.0,18.47980143057752,21.0,24.0,0.0,0.0,20.73024974576312,21.0,24.0,2023-05-31 00:00:00,0.0,1.0,-2307.350426964853
2023-05-31 00:15:00, 05/31  00:30:00,65.03,0.0,0.0,3.0,3.0,71.24686152059219,296.92148629997274,1864.089587695659,0.0,0.0,-2246.679147570057,0.0,-91.25258570688764,0.0,20.831983007643384,0.0,-1784.3880211126916,0.0,0.0,2138.406623451843,0.0,357.6351570545926,0.0,19.946561046900243,0.0,-92.74705606905076,0.0,0.0,0.0,0.0,-89.11967029756389,0.0,0.0,2246.63745053355,21.803811955884548,21.0,24.0,2138.406623451843,0.0,20.831983007643384,21.0,24.0,0.0,0.0,19.946561046900243,21.0,24.0,2023-05-31 00:15:00,0.065403129230143,0.9978589232386036,-2246.63745053355
2023-05-31 00:30:00, 05/31  00:45:00,64.535,0.0,0.0,3.0,3.0,71.70686559961038,298.6748441249418,1403.407736431902,0.0,0.0,-1387.3645531569268,0.0,301.90116618936406,0.0,18.583351538989515,0.0,-1189.1820945226932,0.0,0.0,825.9323287289507,0.0,-368.1256283729751,0.0,19.32995745598101,0.0,-35.927223012986154,0.0,0.0,0.0,0.0,-37.39265246588605,0.0,0.0,1387.3499326267338,22.05936977756132,21.0,24.0,825.9323287289506,0.0,18.583351538989515,21.0,24.0,0.0,0.0,19.32995745598101,21.0,24.0,2023-05-31 00:30:00,0.1305261922200515,0.9914448613738104,-1387.3499326267338
2023-05-31 00:45:00, 05/31  01:00:00,64.04,0.0,0.0,3.0,3.0,70.97968971947803,292.82072422914723,1521.4227038198728,0.0,0.0,-2209.3018720572445,0.0,-351.1086996519531,0.0,18.06054918574104,0.0,-961.1633280640464,0.0,0.0,852.234857293719,0.0,-139.30685788457714,0.0,19.198385532979653,0.0,-31.32530610009456,0.0,0.0,0.0,0.0,-36.51460228662093,0.0,0.0,2209.232564323272,21.655383177487792,21.0,24.0,852.234857293719,0.0,18.06054918574104,21.0,24.0,0.0,0.0,19.198385532979653,21.0,24.0,2023-05-31 00:45:00,0.1950903220161282,0.9807852804032304,-2209.232564323272
2023-05-31 01:00:00, 05/31  01:15:00,63.77,0.0,0.0,3.0,3.0,71.37472183656146,297.9315370314291,1259.4487957824142,0.0,0.0,-1359.2962270450255,0.0,173.78284934848836,0.0,20.063572392658376,0.0,-2007.546068667668,0.0,0.0,2254.384346340029,0.0,242.2398741309281,0.0,19.050196521632504,0.0,-23.717402401147872,0.0,0.0,0.0,0.0,-23.76365998561817,0.0,0.0,1359.268237772245,21.87484546475637,21.0,24.0,2254.384346340029,0.0,20.06357239265837,21.0,24.0,0.0,0.0,19.050196521632504,21.0,24.0,2023-05-31 01:00:00,0.2588190451025207,0.9659258262890684,-1359.268237772245
2023-05-31 01:15:00, 05/31  01:30:00,63.5,0.0,0.0,3.0,3.0,71.33493278947417,291.41894135664967,1059.975538376123,0.0,0.0,-1356.0143202237523,0.0,7.397881022762198,0.0,17.756325057362048,0.0,-1132.79326700692,0.0,0.0,867.5405723064002,0.0,-251.54669410150245,0.0,18.94592148328568,0.0,-17.635444714045942,0.0,0.0,0.0,0.0,-18.0500939347125,0.0,0.0,1355.9812748059069,21.85274043859676,21.000000000000004,24.000000000000004,867.5405723064001,0.0,17.75632505736205,21.000000000000004,24.000000000000004,0.0,0.0,18.94592148328568,21.000000000000004,24.000000000000004,2023-05-31 01:15:00,0.3214394653031615,0.9469301294951056,-1355.9812748059069
2023-05-31 01:30:00, 05/31  01:45:00,63.23,0.0,0.0,3.0,3.0,71.26448452652726,293.05841915917966,1014.3003789395444,0.0,0.0,-1350.1247491165634,0.0,-42.43534448685512,0.0,20.281634807600994,0.0,-1914.6856345719984,0.0,0.0,2221.471757888818,0.0,290.1651103340912,0.0,21.471544293860305,0.0,-324.7706505191569,0.0,0.0,680.6254609164386,0.0,346.53622539717685,0.0,0.0,1350.0993456971787,21.813602514737365,21.0,24.0,2221.471757888818,0.0,20.281634807600994,21.0,24.0,680.6254609164386,0.0,21.471544293860305,21.0,24.0,2023-05-31 01:30:00,0.3826834323650898,0.9238795325112868,-1350.0993456971787
2023-05-31 01:45:00, 05/31  02:00:00,62.96,0.0,0.0,3.0,3.0,71.1308340940209,293.7999752290327,963.4833921729356,0.0,0.0,-1338.8531719551715,0.0,-80.74598716771621,0.0,17.687418997112317,0.0,-1169.2152035329966,0.0,0.0,871.0072812964102,0.0,-281.35260335423123,0.0,20.6153693538812,0.0,-75.78506214890646,0.0,0.0,0.0,0.0,-59.65202614825083,0.0,0.0,1338.8250650837372,21.73935227445609,21.00000000000003,24.00000000000004,871.0072812964099,0.0,17.68741899711235,21.00000000000003,24.00000000000004,0.0,0.0,20.615369353881228,21.00000000000003,24.00000000000004,2023-05-31 01:45:00,0.4422886902190012,0.8968727415326884,-1338.8250650837372
2023-05-31 02:00:00, 05/31  02:15:00,62.735,0.0,0.0,3.0,3.0,70.9712085988003,294.37718326871544,930.343031832986,0.0,0.0,-1325.3648752113083,0.0,-100.91650756311904,0.0,20.22543652614098,0.0,-1931.2514968350133,0.0,0.0,2229.953874854483,0.0,277.17998645522,0.0,19.902758898093328,0.0,-113.03443451566096,0.0,0.0,0.0,0.0,-116.06195036697378,0.0,0.0,1325.333976086043,21.65067144377795,21.0,24.0,2229.953874854483,0.0,20.22543652614098,21.0,24.0,0.0,0.0,19.902758898093328,21.0,24.0,2023-05-31 02:00:00,0.4999999999999999,0.8660254037844387,-1325.333976086043
2023-05-31 02:15:00, 05/31  02:30:00,62.51,0.0,0.0,3.0,3.0,70.79381308853709,295.59571165320784,903.565503976164,0.0,0.0,-1310.3629558213618,0.0,-111.70220798522456,0.0,17.546740126250416,0.0,-1186.3160774353253,0.0,0.0,878.0849273634412,0.0,-291.37562322463805,0.0,19.45259278048304,0.0,-75.18402876698559,0.0,0.0,0.0,0.0,-77.26799766430028,0.0,0.0,1310.3363298708148,21.552118382520604,21.0,24.0,878.0849273634411,0.0,17.546740126250413,21.0,24.0,0.0,0.0,19.45259278048303,21.0,24.0,2023-05-31 02:15:00,0.5555702330196022,0.8314696123025452,-1310.3363298708148
